=========================================== EPC ===========================================
Number of Population=20 | D=10, Max Iter=100 | Total pairs=45 | Initial Fitness=50.729
Iter   18/100 | best=4.5610 | mu=0.042 | mutation=0.042
Iter   19/100 | best=4.4874 | mu=0.042 | mutation=0.042
Iter   20/100 | best=4.5566 | mu=0.041 | mutation=0.041
Iter   21/100 | best=4.5666 | mu=0.041 | mutation=0.041
Iter   22/100 | best=4.5036 | mu=0.040 | mutation=0.040
Iter   23/100 | best=4.5632 | mu=0.040 | mutation=0.040
Iter   24/100 | best=4.5408 | mu=0.040 | mutation=0.040
Iter   25/100 | best=4.5358 | mu=0.039 | mutation=0.039
Iter   26/100 | best=4.4844 | mu=0.039 | mutation=0.039
Iter   27/100 | best=4.5820 | mu=0.039 | mutation=0.039
Iter   28/100 | best=4.5453 | mu=0.038 | mutation=0.038
Iter   29/100 | best=4.5053 | mu=0.038 | mutation=0.038
Iter   30/100 | best=4.4947 | mu=0.037 | mutation=0.037
Iter   31/100 | best=4.6161 | mu=0.037 | mutation=0.037
Iter   32/100 | best=4.3501 | mu=0.037 | mutation=0.037
Iter   33/100 | best=4.6237 | mu=0.036 | mutation=0.036
Iter   34/100 | best=4.5749 | mu=0.036 | mutation=0.036
Iter   35/100 | best=4.5746 | mu=0.036 | mutation=0.036
Iter   36/100 | best=4.5628 | mu=0.035 | mutation=0.035
Iter   37/100 | best=4.5785 | mu=0.035 | mutation=0.035
Iter   38/100 | best=4.4005 | mu=0.034 | mutation=0.034
Iter   39/100 | best=4.5208 | mu=0.034 | mutation=0.034
Iter   40/100 | best=4.5631 | mu=0.034 | mutation=0.034
Iter   41/100 | best=4.5436 | mu=0.033 | mutation=0.033
Iter   42/100 | best=4.5527 | mu=0.033 | mutation=0.033
Iter   43/100 | best=4.5748 | mu=0.033 | mutation=0.033
Iter   44/100 | best=4.5319 | mu=0.032 | mutation=0.032
Iter   45/100 | best=4.5491 | mu=0.032 | mutation=0.032
Iter   46/100 | best=4.5866 | mu=0.032 | mutation=0.032
Iter   47/100 | best=4.5226 | mu=0.031 | mutation=0.031
Iter   48/100 | best=4.5961 | mu=0.031 | mutation=0.031
Iter   49/100 | best=4.5817 | mu=0.031 | mutation=0.031
Iter   50/100 | best=4.4993 | mu=0.031 | mutation=0.031
Iter   51/100 | best=4.5981 | mu=0.030 | mutation=0.030
Iter   52/100 | best=4.6326 | mu=0.030 | mutation=0.030
Iter   53/100 | best=4.5463 | mu=0.030 | mutation=0.030
Iter   54/100 | best=4.5313 | mu=0.029 | mutation=0.029
Iter   55/100 | best=4.4845 | mu=0.029 | mutation=0.029
Iter   56/100 | best=4.5619 | mu=0.029 | mutation=0.029
Iter   57/100 | best=4.6058 | mu=0.028 | mutation=0.028
Iter   58/100 | best=4.5818 | mu=0.028 | mutation=0.028
Iter   59/100 | best=4.6432 | mu=0.028 | mutation=0.028
Iter   60/100 | best=4.5578 | mu=0.028 | mutation=0.028
Iter   61/100 | best=4.5429 | mu=0.027 | mutation=0.027
Iter   62/100 | best=4.6274 | mu=0.027 | mutation=0.027
Iter   63/100 | best=4.5732 | mu=0.027 | mutation=0.027
Iter   64/100 | best=4.5851 | mu=0.027 | mutation=0.027
Iter   65/100 | best=4.5795 | mu=0.026 | mutation=0.026
Iter   66/100 | best=4.5968 | mu=0.026 | mutation=0.026
Iter   67/100 | best=4.6376 | mu=0.026 | mutation=0.026
Iter   68/100 | best=4.5965 | mu=0.025 | mutation=0.025
Iter   69/100 | best=4.6475 | mu=0.025 | mutation=0.025
Iter   70/100 | best=4.6204 | mu=0.025 | mutation=0.025
Iter   71/100 | best=4.5280 | mu=0.025 | mutation=0.025
